filepath,brand,doc_type,title,parent_node_token
00-getting-started/faq.md,使用指南,FAQ 疑難排解,常见问题,
00-getting-started/glossary.md,使用指南,通用,词汇表,
00-getting-started/intro.md,使用指南,通用,快速入门,
00-getting-started/support-policy.md,使用指南,通用,支持政策,
01-alfa-network/drivers/index.md,ALFA Network,通用,ALFA 驱动指南——总览,
01-alfa-network/drivers/mt7610u/index.md,ALFA Network,通用,MT7610U 驱动指南（AWUS036ACHM）,
01-alfa-network/drivers/mt7612u/index.md,ALFA Network,通用,MT7612U 驱动指南（AWUS036ACM）,
01-alfa-network/drivers/mt7921aun/index.md,ALFA Network,通用,MT7921AUN 驱动指南（AWUS036AXM / AWUS036AXML）,
01-alfa-network/drivers/rtl8811au/index.md,ALFA Network,通用,RTL8811AU 驱动指南（AWUS036ACS）,
01-alfa-network/drivers/rtl8812au/index.md,ALFA Network,通用,RTL8812AU 驱动指南（AWUS036ACH）,
01-alfa-network/drivers/rtl8821cu/index.md,ALFA Network,通用,RTL8821CU 驱动指南（AWUS036EACS）,
01-alfa-network/drivers/rtl8832bu/index.md,ALFA Network,通用,RTL8832BU 驱动指南（AWUS036AX / AWUS036AXER）,
01-alfa-network/hardware/jetson/index.md,ALFA Network,通用,ALFA 网卡适配器在 NVIDIA Jetson 上（Orin Nano / NX）,
01-alfa-network/hardware/raspberry-pi/index.md,ALFA Network,通用,ALFA 网卡适配器在 Raspberry Pi 上（3 / 4 / 5）,
01-alfa-network/hardware/unitree/index.md,ALFA Network,通用,ALFA 网卡适配器在 Unitree 机器人上（Go2 / B2 / A1）,
01-alfa-network/index.md,ALFA Network,通用,ALFA Network,
01-alfa-network/linux-compatibility-matrix.md,ALFA Network,技術文件,ALFA Linux 兼容性矩阵,
01-alfa-network/linux-setup-kali.md,ALFA Network,QSG 快速上手,ALFA 网卡适配器在 Kali Linux 上——监听模式与数据包注入,
01-alfa-network/linux-setup-nethunter.md,ALFA Network,QSG 快速上手,ALFA 网卡适配器在 NetHunter（Android）上——OTG 设置指南,
01-alfa-network/linux-setup-ubuntu.md,ALFA Network,QSG 快速上手,ALFA 网卡适配器在 Ubuntu 上——完整设置指南,
01-alfa-network/products/apa-m04/index.md,ALFA Network,使用手冊,ALFA APA-M04——2.4 GHz 面板定向天线,
01-alfa-network/products/apa-m25/index.md,ALFA Network,使用手冊,ALFA APA-M25——双频面板天线（2.4/5 GHz）,
01-alfa-network/products/apa-m25-6e/index.md,ALFA Network,使用手冊,ALFA APA-M25-6E——三频面板天线（支持 Wi-Fi 6E）,
01-alfa-network/products/ars-25-57a/index.md,ALFA Network,使用手冊,ALFA ARS-25-57A——双频桨式天线（5/7 dBi）,
01-alfa-network/products/ars-nt5b7/index.md,ALFA Network,使用手冊,ALFA ARS-NT5B7——WiFi 7 三频工业偶极子天线,
01-alfa-network/products/awus036ach/index.md,ALFA Network,使用手冊,ALFA AWUS036ACH——高功率 AC1200,
01-alfa-network/products/awus036achm/index.md,ALFA Network,使用手冊,ALFA AWUS036ACHM——预算级双频 AC433,
01-alfa-network/products/awus036acm/index.md,ALFA Network,使用手冊,ALFA AWUS036ACM——经典全能选手（MT7612U）,
01-alfa-network/products/awus036acs/index.md,ALFA Network,使用手冊,ALFA AWUS036ACS——口袋级双频 AC433,
01-alfa-network/products/awus036ax/index.md,ALFA Network,使用手冊,ALFA AWUS036AX——Wi-Fi 6 双频 AX1800,
01-alfa-network/products/awus036axer/index.md,ALFA Network,使用手冊,ALFA AWUS036AXER——Wi-Fi 6 纳米款（内置天线）,
01-alfa-network/products/awus036axm/index.md,ALFA Network,使用手冊,ALFA AWUS036AXM——Wi-Fi 6 AX3000 + 蓝牙 5.2,
01-alfa-network/products/awus036axml/index.md,ALFA Network,使用手冊,ALFA AWUS036AXML——Wi-Fi 6E USB-C（6 GHz）,
01-alfa-network/products/awus036eacs/index.md,ALFA Network,使用手冊,ALFA AWUS036EACS——纳米 WiFi + 蓝牙组合,
01-alfa-network/troubleshooting.md,ALFA Network,FAQ 疑難排解,ALFA 网卡适配器——故障排查索引,
01-alfa-network/wifi-adapter-comparison.md,ALFA Network,技術文件,ALFA 无线网卡对比——你该买哪一款？,
02-hak5/faq.md,Hak5,FAQ 疑難排解,FAQ,
02-hak5/firmware-downloads.md,Hak5,技術文件,固件与下载,
02-hak5/index.md,Hak5,通用,Hak5,
02-hak5/products/bash-bunny-mark-ii/index.md,Hak5,使用手冊,Bash Bunny Mark II,
02-hak5/products/key-croc/index.md,Hak5,使用手冊,Key Croc,
02-hak5/products/malicious-cable-detector/index.md,Hak5,使用手冊,Malicious Cable Detector,
02-hak5/products/omg-adapter/index.md,Hak5,使用手冊,O.MG Adapter,
02-hak5/products/omg-cable/index.md,Hak5,使用手冊,O.MG Cable,
02-hak5/products/omg-plug/index.md,Hak5,使用手冊,O.MG Plug,
02-hak5/products/omg-programmer/index.md,Hak5,使用手冊,O.MG Programmer,
02-hak5/products/omg-unblocker/index.md,Hak5,使用手冊,O.MG UnBlocker,
02-hak5/products/packet-squirrel-mark-ii/index.md,Hak5,使用手冊,Packet Squirrel Mark II,
02-hak5/products/plunder-bug-lan-tap/index.md,Hak5,使用手冊,Plunder Bug LAN Tap,
02-hak5/products/screen-crab/index.md,Hak5,使用手冊,Screen Crab,
02-hak5/products/shark-jack/index.md,Hak5,使用手冊,Shark Jack,
02-hak5/products/shark-jack-cable/index.md,Hak5,使用手冊,Shark Jack Cable,
02-hak5/products/usb-rubber-ducky/index.md,Hak5,使用手冊,USB Rubber Ducky,
02-hak5/products/wifi-pineapple-enterprise/index.md,Hak5,使用手冊,WiFi Pineapple Enterprise,
02-hak5/products/wifi-pineapple-mark-vii/index.md,Hak5,使用手冊,WiFi Pineapple Mark VII,
02-hak5/products/wifi-pineapple-pager/index.md,Hak5,使用手冊,WiFi Pineapple Pager,
02-hak5/quickstart.md,Hak5,QSG 快速上手,快速入门,
02-hak5/troubleshooting-index.md,Hak5,FAQ 疑難排解,故障排查索引,
03-flipper-zero/firmware-qflipper.md,Flipper Zero,技術文件,固件与 qFlipper — 升级指南,
03-flipper-zero/index.md,Flipper Zero,通用,Flipper Zero,
03-flipper-zero/mobile-app.md,Flipper Zero,技術文件,Flipper Mobile App — 配对指南,
03-flipper-zero/official-resources.md,Flipper Zero,技術文件,Flipper Zero 官方资源,
03-flipper-zero/products/flipper-zero/index.md,Flipper Zero,使用手冊,Flipper Zero — 完整指南,
03-flipper-zero/products/silicone-case/index.md,Flipper Zero,使用手冊,Silicone Case — 完整指南,
03-flipper-zero/products/video-game-module/index.md,Flipper Zero,使用手冊,Video Game Module — 完整指南,
03-flipper-zero/products/wifi-devboard/index.md,Flipper Zero,使用手冊,WiFi Devboard — 完整指南,
03-flipper-zero/quickstart.md,Flipper Zero,QSG 快速上手,Flipper Zero 快速入门,
03-flipper-zero/troubleshooting.md,Flipper Zero,FAQ 疑難排解,Flipper Zero 故障排查,
04-sdrlab/expansion/5g-board/index.md,SDRLab,通用,Flipper Zero 5G 扩展板——完整指南,
04-sdrlab/expansion/ethernet-test-module/index.md,SDRLab,通用,Flipper Zero 以太网测试模块——完整指南,
04-sdrlab/expansion/nrf24/index.md,SDRLab,通用,Flipper Zero NRF24 模块——完整指南,
04-sdrlab/expansion/wifi-multiboard/index.md,SDRLab,通用,Flipper Zero WiFi 多功能板（ESP8266）——完整指南,
04-sdrlab/firmware.md,SDRLab,技術文件,固件与驱动程序——保持 SDRLAB 硬件最新,
04-sdrlab/hardware/h4m/index.md,SDRLab,通用,SDRLab H4M（HackRF PortaPack）——完整指南,
04-sdrlab/hardware/rtl-sdr-v4/index.md,SDRLab,通用,RTL-SDR Blog V4——完整指南,
04-sdrlab/hardware/trx-duo/index.md,SDRLab,通用,SDRLab TRX-duo——完整指南,
04-sdrlab/index.md,SDRLab,通用,SDRLAB,
04-sdrlab/quickstart.md,SDRLab,QSG 快速上手,SDRLAB 快速入门——你的前 30 分钟,
04-sdrlab/sdr-software.md,SDRLab,技術文件,SDR 软件——选择并安装你的工具,
04-sdrlab/shared/alfa-linux-guide.md,SDRLab,通用,Linux 上的 ALFA 适配器——驱动程序指引,
04-sdrlab/troubleshooting.md,SDRLab,FAQ 疑難排解,SDRLAB 故障排查中心,
05-acs/index.md,ACS,通用,ACS 智能卡与 NFC 读卡器,
05-acs/products/acr122u/index.md,ACS,使用手冊,ACR122U — USB NFC Reader 完整说明,
05-acs/products/acr1252u/index.md,ACS,使用手冊,ACR1252U — USB NFC Reader III (NFC Forum Certified) 完整说明,
05-acs/products/acr1552u/index.md,ACS,使用手冊,ACR1552U — USB NFC Reader IV（第 4 代）完整说明,
99-admin/change-log.md,使用指南,通用,变更日志,
index.md,使用指南,通用,Yupitek Wiki,
